video_id,audio_anger,audio_disgust,audio_fear,audio_happiness,audio_neutral,audio_sadness,audio_surprise
zuG4A3_AmK0,0.4645919,0.12886274,0.11003446,0.060574822,0.030672597,0.024037711,0.0222587
F4b2GiL6Xm4,0.4573429,0.11282341,0.0982845,0.044372976,0.04255023,0.022804836,0.021691717
dhLCzSwUTvc,0.5246511,0.10139515,0.09016715,0.057574,0.032967478,0.024307141,0.020340506
FcAwKf_-06k,0.5140054,0.10814153,0.088571064,0.04934299,0.03626245,0.030947806,0.021499814
IFj4v7niPRI,0.48729444,0.09933068,0.0943672,0.048215978,0.03850725,0.028508537,0.020518834
1Sq3_s7XEtU,0.5192236,0.11328384,0.09462592,0.06571577,0.031547766,0.028358879,0.018848509
F4b2GiL6Xm4,0.5293105,0.10368404,0.10219764,0.05699711,0.03022896,0.025430879,0.016947582
IFj4v7niPRI,0.4442329,0.11365602,0.10579185,0.046850793,0.0388186,0.025465751,0.022763807
Q7KdkCYto-c,0.45095137,0.118414916,0.10558882,0.063890345,0.037215874,0.026911503,0.02366018
9rUCHq0IeK4,0.4779264,0.10308802,0.09879259,0.045641363,0.040918585,0.026477164,0.022329586
IFj4v7niPRI,0.48197865,0.10031249,0.098265946,0.046633713,0.040269036,0.02869326,0.021244347
Q7KdkCYto-c,0.4958948,0.1035126,0.09996169,0.054530248,0.035739344,0.026794706,0.020590072
F4b2GiL6Xm4,0.58858734,0.0741587,0.070328385,0.03848881,0.0357923,0.02970267,0.01839147
FcAwKf_-06k,0.5140054,0.10814153,0.088571064,0.04934299,0.03626245,0.030947806,0.021499814
IFj4v7niPRI,0.48729444,0.09933068,0.0943672,0.048215978,0.03850725,0.028508537,0.020518834
FcAwKf_-06k,0.44527525,0.10413924,0.09831799,0.048752137,0.038411032,0.026206542,0.025073105
IFj4v7niPRI,0.48052117,0.108988255,0.10635152,0.050618745,0.04155648,0.02600729,0.020023623
Q7KdkCYto-c,0.50811434,0.102310084,0.09101964,0.04728661,0.039103627,0.027755398,0.021553904
zuG4A3_AmK0,0.5107025,0.1065446,0.09530371,0.04950264,0.03412893,0.024019115,0.019587236
Q7KdkCYto-c,0.49043092,0.109527126,0.10317145,0.05228769,0.0353608,0.02786946,0.022366311
zuG4A3_AmK0,0.4645919,0.12886274,0.11003446,0.060574822,0.030672597,0.024037711,0.0222587
9rUCHq0IeK4,0.42852065,0.11154891,0.09214374,0.056310438,0.030564666,0.025328584,0.024790786
dhLCzSwUTvc,0.52672625,0.103391364,0.08824467,0.054873206,0.030915376,0.02702068,0.018301196
F4b2GiL6Xm4,0.4573429,0.11282341,0.0982845,0.044372976,0.04255023,0.022804836,0.021691717
1Sq3_s7XEtU,0.5192236,0.11328384,0.09462592,0.06571577,0.031547766,0.028358879,0.018848509
IFj4v7niPRI,0.48197865,0.10031249,0.098265946,0.046633713,0.040269036,0.02869326,0.021244347
FcAwKf_-06k,0.44527525,0.10413924,0.09831799,0.048752137,0.038411032,0.026206542,0.025073105
IFj4v7niPRI,0.47411534,0.11512019,0.10848349,0.053362247,0.037709523,0.028509846,0.021684494
F4b2GiL6Xm4,0.4573429,0.11282341,0.0982845,0.044372976,0.04255023,0.022804836,0.021691717
F4b2GiL6Xm4,0.5726848,0.08802086,0.0827625,0.043557156,0.033927266,0.025841733,0.018945292
zuG4A3_AmK0,0.5417442,0.0809278,0.079554,0.04770885,0.029272031,0.021950621,0.020403253
1Sq3_s7XEtU,0.50512534,0.107418954,0.086792886,0.04542778,0.039441098,0.028440071,0.021430649
F4b2GiL6Xm4,0.4573429,0.11282341,0.0982845,0.044372976,0.04255023,0.022804836,0.021691717
FcAwKf_-06k,0.513179,0.087519206,0.08586999,0.04536269,0.033129044,0.024451902,0.02133697
F4b2GiL6Xm4,0.5726848,0.08802086,0.0827625,0.043557156,0.033927266,0.025841733,0.018945292
zuG4A3_AmK0,0.4775474,0.11029375,0.0838286,0.051281724,0.031822573,0.025334224,0.023850583
zuG4A3_AmK0,0.5417442,0.0809278,0.079554,0.04770885,0.029272031,0.021950621,0.020403253
1Sq3_s7XEtU,0.5192236,0.11328384,0.09462592,0.06571577,0.031547766,0.028358879,0.018848509
dhLCzSwUTvc,0.5108638,0.09398378,0.08731518,0.045993265,0.039991207,0.024231987,0.021004483
Q7KdkCYto-c,0.49043092,0.109527126,0.10317145,0.05228769,0.0353608,0.02786946,0.022366311
F4b2GiL6Xm4,0.58858734,0.0741587,0.070328385,0.03848881,0.0357923,0.02970267,0.01839147
F4b2GiL6Xm4,0.5726848,0.08802086,0.0827625,0.043557156,0.033927266,0.025841733,0.018945292
1Sq3_s7XEtU,0.5192236,0.11328384,0.09462592,0.06571577,0.031547766,0.028358879,0.018848509
dhLCzSwUTvc,0.5246511,0.10139515,0.09016715,0.057574,0.032967478,0.024307141,0.020340506
MuCTwxh6YaI,0.48026642,0.10706937,0.08810454,0.059527703,0.030530283,0.023800943,0.017513484
zuG4A3_AmK0,0.4369357,0.104586616,0.084404685,0.060152415,0.03231376,0.027692905,0.018113209
IFj4v7niPRI,0.48197865,0.10031249,0.098265946,0.046633713,0.040269036,0.02869326,0.021244347
dhLCzSwUTvc,0.52672625,0.103391364,0.08824467,0.054873206,0.030915376,0.02702068,0.018301196
Q7KdkCYto-c,0.49043092,0.109527126,0.10317145,0.05228769,0.0353608,0.02786946,0.022366311
9rUCHq0IeK4,0.47677684,0.10029982,0.08692959,0.051461313,0.033011053,0.026012382,0.021496072
1Sq3_s7XEtU,0.5192236,0.11328384,0.09462592,0.06571577,0.031547766,0.028358879,0.018848509
F4b2GiL6Xm4,0.4573429,0.11282341,0.0982845,0.044372976,0.04255023,0.022804836,0.021691717
IFj4v7niPRI,0.48052117,0.108988255,0.10635152,0.050618745,0.04155648,0.02600729,0.020023623
dhLCzSwUTvc,0.5108638,0.09398378,0.08731518,0.045993265,0.039991207,0.024231987,0.021004483
Q7KdkCYto-c,0.49043092,0.109527126,0.10317145,0.05228769,0.0353608,0.02786946,0.022366311
zuG4A3_AmK0,0.4645919,0.12886274,0.11003446,0.060574822,0.030672597,0.024037711,0.0222587
1Sq3_s7XEtU,0.57268685,0.09221786,0.073091276,0.04867773,0.033830393,0.031583354,0.016881684
dhLCzSwUTvc,0.5108638,0.09398378,0.08731518,0.045993265,0.039991207,0.024231987,0.021004483
FcAwKf_-06k,0.513179,0.087519206,0.08586999,0.04536269,0.033129044,0.024451902,0.02133697
MuCTwxh6YaI,0.50293463,0.10042312,0.08314007,0.047987588,0.04067022,0.021334773,0.021037087
Q7KdkCYto-c,0.51738584,0.108924486,0.088157676,0.053901784,0.032272104,0.026789006,0.017935717
IFj4v7niPRI,0.48052117,0.108988255,0.10635152,0.050618745,0.04155648,0.02600729,0.020023623
1Sq3_s7XEtU,0.57268685,0.09221786,0.073091276,0.04867773,0.033830393,0.031583354,0.016881684
zuG4A3_AmK0,0.4645919,0.12886274,0.11003446,0.060574822,0.030672597,0.024037711,0.0222587
F4b2GiL6Xm4,0.5378192,0.09333498,0.09218717,0.044985246,0.035566244,0.02543165,0.018700708
dhLCzSwUTvc,0.52298546,0.09504573,0.094032176,0.043864895,0.03485893,0.02766437,0.019104725
9rUCHq0IeK4,0.4940789,0.09375206,0.09161549,0.04463135,0.04170829,0.023911139,0.021647902
IFj4v7niPRI,0.48052117,0.108988255,0.10635152,0.050618745,0.04155648,0.02600729,0.020023623
zuG4A3_AmK0,0.4775474,0.11029375,0.0838286,0.051281724,0.031822573,0.025334224,0.023850583
zuG4A3_AmK0,0.4775474,0.11029375,0.0838286,0.051281724,0.031822573,0.025334224,0.023850583
IFj4v7niPRI,0.48197865,0.10031249,0.098265946,0.046633713,0.040269036,0.02869326,0.021244347
1Sq3_s7XEtU,0.50512534,0.107418954,0.086792886,0.04542778,0.039441098,0.028440071,0.021430649
Q7KdkCYto-c,0.51738584,0.108924486,0.088157676,0.053901784,0.032272104,0.026789006,0.017935717
F4b2GiL6Xm4,0.4573429,0.11282341,0.0982845,0.044372976,0.04255023,0.022804836,0.021691717
F4b2GiL6Xm4,0.5378192,0.09333498,0.09218717,0.044985246,0.035566244,0.02543165,0.018700708
Q7KdkCYto-c,0.4958948,0.1035126,0.09996169,0.054530248,0.035739344,0.026794706,0.020590072
9rUCHq0IeK4,0.4779264,0.10308802,0.09879259,0.045641363,0.040918585,0.026477164,0.022329586
Q7KdkCYto-c,0.51738584,0.108924486,0.088157676,0.053901784,0.032272104,0.026789006,0.017935717
zuG4A3_AmK0,0.5107025,0.1065446,0.09530371,0.04950264,0.03412893,0.024019115,0.019587236
F4b2GiL6Xm4,0.5726848,0.08802086,0.0827625,0.043557156,0.033927266,0.025841733,0.018945292
1Sq3_s7XEtU,0.50512534,0.107418954,0.086792886,0.04542778,0.039441098,0.028440071,0.021430649
MuCTwxh6YaI,0.48026642,0.10706937,0.08810454,0.059527703,0.030530283,0.023800943,0.017513484
9rUCHq0IeK4,0.43507653,0.116378166,0.10043894,0.04906912,0.039146245,0.024916232,0.023583759
9rUCHq0IeK4,0.47677684,0.10029982,0.08692959,0.051461313,0.033011053,0.026012382,0.021496072
1Sq3_s7XEtU,0.50027806,0.117219076,0.08829515,0.05368088,0.033511076,0.026392067,0.019158076
Q7KdkCYto-c,0.45095137,0.118414916,0.10558882,0.063890345,0.037215874,0.026911503,0.02366018
MuCTwxh6YaI,0.5206864,0.0882949,0.08724401,0.04341236,0.04179938,0.021116938,0.020295938
IFj4v7niPRI,0.47411534,0.11512019,0.10848349,0.053362247,0.037709523,0.028509846,0.021684494
1Sq3_s7XEtU,0.4831961,0.10821933,0.099506825,0.04645693,0.03936665,0.026668226,0.021664808
IFj4v7niPRI,0.48052117,0.108988255,0.10635152,0.050618745,0.04155648,0.02600729,0.020023623
IFj4v7niPRI,0.47411534,0.11512019,0.10848349,0.053362247,0.037709523,0.028509846,0.021684494
9rUCHq0IeK4,0.47677684,0.10029982,0.08692959,0.051461313,0.033011053,0.026012382,0.021496072
Q7KdkCYto-c,0.50811434,0.102310084,0.09101964,0.04728661,0.039103627,0.027755398,0.021553904
F4b2GiL6Xm4,0.58858734,0.0741587,0.070328385,0.03848881,0.0357923,0.02970267,0.01839147
zuG4A3_AmK0,0.5107025,0.1065446,0.09530371,0.04950264,0.03412893,0.024019115,0.019587236
Q7KdkCYto-c,0.50811434,0.102310084,0.09101964,0.04728661,0.039103627,0.027755398,0.021553904
9rUCHq0IeK4,0.42852065,0.11154891,0.09214374,0.056310438,0.030564666,0.025328584,0.024790786
9rUCHq0IeK4,0.47677684,0.10029982,0.08692959,0.051461313,0.033011053,0.026012382,0.021496072
zuG4A3_AmK0,0.4645919,0.12886274,0.11003446,0.060574822,0.030672597,0.024037711,0.0222587
dhLCzSwUTvc,0.52298546,0.09504573,0.094032176,0.043864895,0.03485893,0.02766437,0.019104725
FcAwKf_-06k,0.44527525,0.10413924,0.09831799,0.048752137,0.038411032,0.026206542,0.025073105
Q7KdkCYto-c,0.45095137,0.118414916,0.10558882,0.063890345,0.037215874,0.026911503,0.02366018
1Sq3_s7XEtU,0.57268685,0.09221786,0.073091276,0.04867773,0.033830393,0.031583354,0.016881684
F4b2GiL6Xm4,0.5726848,0.08802086,0.0827625,0.043557156,0.033927266,0.025841733,0.018945292
IFj4v7niPRI,0.47411534,0.11512019,0.10848349,0.053362247,0.037709523,0.028509846,0.021684494
zuG4A3_AmK0,0.4645919,0.12886274,0.11003446,0.060574822,0.030672597,0.024037711,0.0222587
dhLCzSwUTvc,0.52672625,0.103391364,0.08824467,0.054873206,0.030915376,0.02702068,0.018301196
IFj4v7niPRI,0.4442329,0.11365602,0.10579185,0.046850793,0.0388186,0.025465751,0.022763807
zuG4A3_AmK0,0.4369357,0.104586616,0.084404685,0.060152415,0.03231376,0.027692905,0.018113209
dhLCzSwUTvc,0.5246511,0.10139515,0.09016715,0.057574,0.032967478,0.024307141,0.020340506
1Sq3_s7XEtU,0.4831961,0.10821933,0.099506825,0.04645693,0.03936665,0.026668226,0.021664808
Q7KdkCYto-c,0.4958948,0.1035126,0.09996169,0.054530248,0.035739344,0.026794706,0.020590072
FcAwKf_-06k,0.48170543,0.09585298,0.09525837,0.044163596,0.04020033,0.026525047,0.023132954
MuCTwxh6YaI,0.5206864,0.0882949,0.08724401,0.04341236,0.04179938,0.021116938,0.020295938
F4b2GiL6Xm4,0.58858734,0.0741587,0.070328385,0.03848881,0.0357923,0.02970267,0.01839147
MuCTwxh6YaI,0.5273225,0.08640033,0.08044907,0.04540949,0.035558693,0.022641744,0.020289058
Q7KdkCYto-c,0.45095137,0.118414916,0.10558882,0.063890345,0.037215874,0.026911503,0.02366018
FcAwKf_-06k,0.49880338,0.09946447,0.08956622,0.042018097,0.039526217,0.025814908,0.021353869
1Sq3_s7XEtU,0.50027806,0.117219076,0.08829515,0.05368088,0.033511076,0.026392067,0.019158076
FcAwKf_-06k,0.48170543,0.09585298,0.09525837,0.044163596,0.04020033,0.026525047,0.023132954
IFj4v7niPRI,0.48052117,0.108988255,0.10635152,0.050618745,0.04155648,0.02600729,0.020023623
dhLCzSwUTvc,0.52672625,0.103391364,0.08824467,0.054873206,0.030915376,0.02702068,0.018301196
zuG4A3_AmK0,0.4775474,0.11029375,0.0838286,0.051281724,0.031822573,0.025334224,0.023850583
Q7KdkCYto-c,0.50811434,0.102310084,0.09101964,0.04728661,0.039103627,0.027755398,0.021553904
Q7KdkCYto-c,0.4958948,0.1035126,0.09996169,0.054530248,0.035739344,0.026794706,0.020590072
IFj4v7niPRI,0.47411534,0.11512019,0.10848349,0.053362247,0.037709523,0.028509846,0.021684494
1Sq3_s7XEtU,0.57268685,0.09221786,0.073091276,0.04867773,0.033830393,0.031583354,0.016881684
Q7KdkCYto-c,0.50811434,0.102310084,0.09101964,0.04728661,0.039103627,0.027755398,0.021553904
MuCTwxh6YaI,0.5273225,0.08640033,0.08044907,0.04540949,0.035558693,0.022641744,0.020289058
zuG4A3_AmK0,0.4775474,0.11029375,0.0838286,0.051281724,0.031822573,0.025334224,0.023850583
zuG4A3_AmK0,0.4369357,0.104586616,0.084404685,0.060152415,0.03231376,0.027692905,0.018113209
Q7KdkCYto-c,0.50811434,0.102310084,0.09101964,0.04728661,0.039103627,0.027755398,0.021553904
1Sq3_s7XEtU,0.57268685,0.09221786,0.073091276,0.04867773,0.033830393,0.031583354,0.016881684
1Sq3_s7XEtU,0.50512534,0.107418954,0.086792886,0.04542778,0.039441098,0.028440071,0.021430649
IFj4v7niPRI,0.48729444,0.09933068,0.0943672,0.048215978,0.03850725,0.028508537,0.020518834
F4b2GiL6Xm4,0.5293105,0.10368404,0.10219764,0.05699711,0.03022896,0.025430879,0.016947582
MuCTwxh6YaI,0.50293463,0.10042312,0.08314007,0.047987588,0.04067022,0.021334773,0.021037087
MuCTwxh6YaI,0.48026642,0.10706937,0.08810454,0.059527703,0.030530283,0.023800943,0.017513484
dhLCzSwUTvc,0.54915506,0.08338499,0.08237503,0.043809753,0.03670422,0.026827194,0.020247197
IFj4v7niPRI,0.48197865,0.10031249,0.098265946,0.046633713,0.040269036,0.02869326,0.021244347
MuCTwxh6YaI,0.50293463,0.10042312,0.08314007,0.047987588,0.04067022,0.021334773,0.021037087
MuCTwxh6YaI,0.48026642,0.10706937,0.08810454,0.059527703,0.030530283,0.023800943,0.017513484
MuCTwxh6YaI,0.48026642,0.10706937,0.08810454,0.059527703,0.030530283,0.023800943,0.017513484
zuG4A3_AmK0,0.4775474,0.11029375,0.0838286,0.051281724,0.031822573,0.025334224,0.023850583
FcAwKf_-06k,0.44527525,0.10413924,0.09831799,0.048752137,0.038411032,0.026206542,0.025073105
F4b2GiL6Xm4,0.5293105,0.10368404,0.10219764,0.05699711,0.03022896,0.025430879,0.016947582
zuG4A3_AmK0,0.4369357,0.104586616,0.084404685,0.060152415,0.03231376,0.027692905,0.018113209
Q7KdkCYto-c,0.4958948,0.1035126,0.09996169,0.054530248,0.035739344,0.026794706,0.020590072
dhLCzSwUTvc,0.5108638,0.09398378,0.08731518,0.045993265,0.039991207,0.024231987,0.021004483
1Sq3_s7XEtU,0.4831961,0.10821933,0.099506825,0.04645693,0.03936665,0.026668226,0.021664808
FcAwKf_-06k,0.48170543,0.09585298,0.09525837,0.044163596,0.04020033,0.026525047,0.023132954
IFj4v7niPRI,0.48729444,0.09933068,0.0943672,0.048215978,0.03850725,0.028508537,0.020518834
Q7KdkCYto-c,0.49043092,0.109527126,0.10317145,0.05228769,0.0353608,0.02786946,0.022366311
MuCTwxh6YaI,0.50293463,0.10042312,0.08314007,0.047987588,0.04067022,0.021334773,0.021037087
Q7KdkCYto-c,0.51738584,0.108924486,0.088157676,0.053901784,0.032272104,0.026789006,0.017935717
F4b2GiL6Xm4,0.58858734,0.0741587,0.070328385,0.03848881,0.0357923,0.02970267,0.01839147
9rUCHq0IeK4,0.43507653,0.116378166,0.10043894,0.04906912,0.039146245,0.024916232,0.023583759
zuG4A3_AmK0,0.4369357,0.104586616,0.084404685,0.060152415,0.03231376,0.027692905,0.018113209
1Sq3_s7XEtU,0.50512534,0.107418954,0.086792886,0.04542778,0.039441098,0.028440071,0.021430649
FcAwKf_-06k,0.48170543,0.09585298,0.09525837,0.044163596,0.04020033,0.026525047,0.023132954
Q7KdkCYto-c,0.50811434,0.102310084,0.09101964,0.04728661,0.039103627,0.027755398,0.021553904
MuCTwxh6YaI,0.5273225,0.08640033,0.08044907,0.04540949,0.035558693,0.022641744,0.020289058
FcAwKf_-06k,0.5140054,0.10814153,0.088571064,0.04934299,0.03626245,0.030947806,0.021499814
Q7KdkCYto-c,0.49043092,0.109527126,0.10317145,0.05228769,0.0353608,0.02786946,0.022366311
1Sq3_s7XEtU,0.50027806,0.117219076,0.08829515,0.05368088,0.033511076,0.026392067,0.019158076
9rUCHq0IeK4,0.42852065,0.11154891,0.09214374,0.056310438,0.030564666,0.025328584,0.024790786
MuCTwxh6YaI,0.50293463,0.10042312,0.08314007,0.047987588,0.04067022,0.021334773,0.021037087
1Sq3_s7XEtU,0.4831961,0.10821933,0.099506825,0.04645693,0.03936665,0.026668226,0.021664808
MuCTwxh6YaI,0.5206864,0.0882949,0.08724401,0.04341236,0.04179938,0.021116938,0.020295938
dhLCzSwUTvc,0.52298546,0.09504573,0.094032176,0.043864895,0.03485893,0.02766437,0.019104725
F4b2GiL6Xm4,0.5293105,0.10368404,0.10219764,0.05699711,0.03022896,0.025430879,0.016947582
FcAwKf_-06k,0.48170543,0.09585298,0.09525837,0.044163596,0.04020033,0.026525047,0.023132954
MuCTwxh6YaI,0.5206864,0.0882949,0.08724401,0.04341236,0.04179938,0.021116938,0.020295938
FcAwKf_-06k,0.49880338,0.09946447,0.08956622,0.042018097,0.039526217,0.025814908,0.021353869
Q7KdkCYto-c,0.4958948,0.1035126,0.09996169,0.054530248,0.035739344,0.026794706,0.020590072
F4b2GiL6Xm4,0.58858734,0.0741587,0.070328385,0.03848881,0.0357923,0.02970267,0.01839147
dhLCzSwUTvc,0.5108638,0.09398378,0.08731518,0.045993265,0.039991207,0.024231987,0.021004483
F4b2GiL6Xm4,0.5378192,0.09333498,0.09218717,0.044985246,0.035566244,0.02543165,0.018700708
9rUCHq0IeK4,0.42852065,0.11154891,0.09214374,0.056310438,0.030564666,0.025328584,0.024790786
9rUCHq0IeK4,0.42852065,0.11154891,0.09214374,0.056310438,0.030564666,0.025328584,0.024790786
zuG4A3_AmK0,0.5107025,0.1065446,0.09530371,0.04950264,0.03412893,0.024019115,0.019587236
F4b2GiL6Xm4,0.4573429,0.11282341,0.0982845,0.044372976,0.04255023,0.022804836,0.021691717
MuCTwxh6YaI,0.5273225,0.08640033,0.08044907,0.04540949,0.035558693,0.022641744,0.020289058
Q7KdkCYto-c,0.4958948,0.1035126,0.09996169,0.054530248,0.035739344,0.026794706,0.020590072
zuG4A3_AmK0,0.4645919,0.12886274,0.11003446,0.060574822,0.030672597,0.024037711,0.0222587
1Sq3_s7XEtU,0.5192236,0.11328384,0.09462592,0.06571577,0.031547766,0.028358879,0.018848509
MuCTwxh6YaI,0.5273225,0.08640033,0.08044907,0.04540949,0.035558693,0.022641744,0.020289058
MuCTwxh6YaI,0.5206864,0.0882949,0.08724401,0.04341236,0.04179938,0.021116938,0.020295938
F4b2GiL6Xm4,0.5378192,0.09333498,0.09218717,0.044985246,0.035566244,0.02543165,0.018700708
MuCTwxh6YaI,0.48026642,0.10706937,0.08810454,0.059527703,0.030530283,0.023800943,0.017513484
zuG4A3_AmK0,0.5417442,0.0809278,0.079554,0.04770885,0.029272031,0.021950621,0.020403253
IFj4v7niPRI,0.4442329,0.11365602,0.10579185,0.046850793,0.0388186,0.025465751,0.022763807
dhLCzSwUTvc,0.52298546,0.09504573,0.094032176,0.043864895,0.03485893,0.02766437,0.019104725
dhLCzSwUTvc,0.54915506,0.08338499,0.08237503,0.043809753,0.03670422,0.026827194,0.020247197
9rUCHq0IeK4,0.43507653,0.116378166,0.10043894,0.04906912,0.039146245,0.024916232,0.023583759
zuG4A3_AmK0,0.4369357,0.104586616,0.084404685,0.060152415,0.03231376,0.027692905,0.018113209
1Sq3_s7XEtU,0.5192236,0.11328384,0.09462592,0.06571577,0.031547766,0.028358879,0.018848509
IFj4v7niPRI,0.48729444,0.09933068,0.0943672,0.048215978,0.03850725,0.028508537,0.020518834
zuG4A3_AmK0,0.4369357,0.104586616,0.084404685,0.060152415,0.03231376,0.027692905,0.018113209
IFj4v7niPRI,0.47411534,0.11512019,0.10848349,0.053362247,0.037709523,0.028509846,0.021684494
IFj4v7niPRI,0.47411534,0.11512019,0.10848349,0.053362247,0.037709523,0.028509846,0.021684494
FcAwKf_-06k,0.44527525,0.10413924,0.09831799,0.048752137,0.038411032,0.026206542,0.025073105
1Sq3_s7XEtU,0.57268685,0.09221786,0.073091276,0.04867773,0.033830393,0.031583354,0.016881684
1Sq3_s7XEtU,0.57268685,0.09221786,0.073091276,0.04867773,0.033830393,0.031583354,0.016881684
9rUCHq0IeK4,0.43507653,0.116378166,0.10043894,0.04906912,0.039146245,0.024916232,0.023583759
F4b2GiL6Xm4,0.5378192,0.09333498,0.09218717,0.044985246,0.035566244,0.02543165,0.018700708
zuG4A3_AmK0,0.4645919,0.12886274,0.11003446,0.060574822,0.030672597,0.024037711,0.0222587
dhLCzSwUTvc,0.52298546,0.09504573,0.094032176,0.043864895,0.03485893,0.02766437,0.019104725
IFj4v7niPRI,0.4442329,0.11365602,0.10579185,0.046850793,0.0388186,0.025465751,0.022763807
MuCTwxh6YaI,0.5206864,0.0882949,0.08724401,0.04341236,0.04179938,0.021116938,0.020295938
dhLCzSwUTvc,0.52672625,0.103391364,0.08824467,0.054873206,0.030915376,0.02702068,0.018301196
dhLCzSwUTvc,0.52672625,0.103391364,0.08824467,0.054873206,0.030915376,0.02702068,0.018301196
9rUCHq0IeK4,0.4940789,0.09375206,0.09161549,0.04463135,0.04170829,0.023911139,0.021647902
F4b2GiL6Xm4,0.5378192,0.09333498,0.09218717,0.044985246,0.035566244,0.02543165,0.018700708
9rUCHq0IeK4,0.47677684,0.10029982,0.08692959,0.051461313,0.033011053,0.026012382,0.021496072
dhLCzSwUTvc,0.52672625,0.103391364,0.08824467,0.054873206,0.030915376,0.02702068,0.018301196
dhLCzSwUTvc,0.54915506,0.08338499,0.08237503,0.043809753,0.03670422,0.026827194,0.020247197
MuCTwxh6YaI,0.5273225,0.08640033,0.08044907,0.04540949,0.035558693,0.022641744,0.020289058
F4b2GiL6Xm4,0.5378192,0.09333498,0.09218717,0.044985246,0.035566244,0.02543165,0.018700708
zuG4A3_AmK0,0.4369357,0.104586616,0.084404685,0.060152415,0.03231376,0.027692905,0.018113209
MuCTwxh6YaI,0.5190894,0.09279092,0.08698157,0.05118999,0.03951147,0.024317179,0.02276189
FcAwKf_-06k,0.48170543,0.09585298,0.09525837,0.044163596,0.04020033,0.026525047,0.023132954
1Sq3_s7XEtU,0.4831961,0.10821933,0.099506825,0.04645693,0.03936665,0.026668226,0.021664808
dhLCzSwUTvc,0.52298546,0.09504573,0.094032176,0.043864895,0.03485893,0.02766437,0.019104725
